gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,1,1,0,0.4444444444444444,1,1,0,0,0,0,1,1,1,0.745771144278607,0.3374861827560796,False,True,False,True,False,False,False,False,True,False,1
0,0,0,0,0.013888888888888888,1,1,0,0,1,0,0,0,1,0.6099502487562188,0.009159681282240238,False,True,False,True,False,False,False,False,False,True,1
1,0,0,0,0.041666666666666664,1,0,1,0,0,1,0,0,1,0.6373134328358209,0.024686809137803984,False,True,False,True,False,False,False,False,False,True,0
1,0,0,1,0.041666666666666664,1,0,0,0,0,0,0,0,0,0.019402985074626844,0.005826271186440679,False,False,True,True,False,False,True,False,False,False,0
0,0,1,0,1.0,1,1,1,0,1,1,1,1,1,0.6582089552238807,0.7019678058216655,True,False,False,False,False,True,False,True,False,False,0
0,0,0,1,0.3611111111111111,0,0,0,0,1,0,0,0,1,0.11492537313432838,0.09056051952837142,True,False,False,True,False,False,False,False,False,True,0
1,0,0,0,0.5416666666666666,1,0,1,0,1,0,1,1,1,0.817910447761194,0.4377418017686073,False,True,False,False,False,True,False,False,True,False,0
0,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.012935323383084563,0.002251059322033899,False,False,True,True,False,False,False,False,False,True,0
0,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,1,0.01243781094527363,0.00224530213706706,False,False,True,True,False,False,False,False,False,True,0
0,0,1,1,0.7777777777777777,1,0,0,0,0,0,1,1,0,0.7029850746268657,0.5720338983050848,False,True,False,False,True,False,True,False,False,False,0
0,1,1,0,0.5972222222222222,1,1,0,0,1,1,1,1,1,0.8885572139303483,0.5220500184229919,False,True,False,False,True,False,False,False,True,False,1
0,0,0,1,0.013888888888888888,1,1,0,0,0,0,0,0,0,0.07114427860696515,0.0029246499631540163,False,False,True,True,False,False,False,False,False,True,0
1,0,0,0,0.40277777777777773,1,1,0,1,1,0,0,1,0,0.5238805970149254,0.22621131171702286,True,False,False,False,True,False,False,True,False,False,0
1,0,0,0,0.027777777777777776,1,1,0,1,0,0,0,0,1,0.6343283582089552,0.02126128408253501,False,True,False,True,False,False,False,False,True,False,1
1,0,0,0,0.9444444444444444,1,0,0,1,1,0,0,0,0,0.6104477611940298,0.6288515567428151,False,True,False,False,True,False,False,True,False,False,0
1,0,1,1,0.9305555555555555,1,1,0,1,0,0,0,1,1,0.7094527363184079,0.7338223102431837,False,True,False,True,False,False,True,False,False,False,0
0,0,1,1,0.2638888888888889,1,1,0,0,0,0,0,0,1,0.06616915422885569,0.05385270817980841,False,False,True,False,False,True,True,False,False,False,0
1,0,1,1,0.9166666666666666,0,0,0,1,1,0,1,1,1,0.3830845771144279,0.42699889462048646,True,False,False,False,False,True,False,True,False,False,0
0,0,1,0,0.05555555555555555,0,0,1,0,0,0,0,0,1,0.10746268656716418,0.014922623434045691,True,False,False,True,False,False,False,False,True,False,0
0,0,1,1,0.125,1,0,0,0,0,0,0,0,0,0.014925373134328346,0.024255020265291086,False,False,True,False,False,True,False,False,False,True,0
1,1,1,0,0.736111111111111,1,1,0,1,1,0,1,1,1,0.8517412935323382,0.6316207627118645,False,True,False,True,False,False,False,False,True,False,1
0,0,0,0,0.3194444444444444,1,0,0,0,0,0,0,0,1,0.01243781094527363,0.054140567428150335,False,False,True,True,False,False,False,False,False,True,0
0,0,1,0,0.6944444444444444,1,1,1,1,0,1,1,1,0,0.8985074626865671,0.6460367538688284,False,True,False,False,True,False,False,False,True,False,1
1,0,0,0,0.027777777777777776,1,0,0,1,0,0,0,0,0,0.564179104477612,0.017473056374355197,False,True,False,True,False,False,False,False,True,False,0
0,0,1,0,0.8194444444444444,1,0,0,0,0,0,0,0,0,0.020895522388059695,0.1458870670596905,False,False,True,False,True,False,False,False,False,True,0
1,0,1,1,0.875,1,1,1,1,1,0,1,1,0,0.6492537313432836,0.6258060058953575,True,False,False,False,False,True,False,True,False,False,0
0,0,1,0,0.3472222222222222,1,0,1,1,0,1,0,1,1,0.5253731343283582,0.21159957627118647,True,False,False,True,False,False,False,False,False,True,0
0,0,0,0,0.19444444444444442,1,1,0,0,1,0,0,0,1,0.618905472636816,0.12343404568901992,False,True,False,True,False,False,False,False,True,False,1
1,0,1,0,0.9027777777777777,1,1,1,1,1,0,0,0,0,0.48557213930348253,0.4962175294767871,True,False,False,False,True,False,False,True,False,False,0
1,1,1,0,0.9583333333333333,0,0,1,1,0,0,1,1,0,0.38109452736318405,0.45512274318349305,True,False,False,False,False,True,False,True,False,False,0
0,0,1,1,0.29166666666666663,1,0,0,1,0,0,0,0,1,0.5552238805970149,0.18028049005158442,False,True,False,True,False,False,True,False,False,False,1
1,0,1,1,0.5972222222222222,1,1,1,0,1,1,0,0,1,0.7263681592039801,0.4621637803979367,False,True,False,False,True,False,False,True,False,False,0
1,1,1,0,0.986111111111111,1,1,1,1,1,1,0,0,1,0.7338308457711442,0.7582442888725129,False,True,False,False,True,False,False,False,True,False,0
1,0,0,1,0.2638888888888889,0,0,0,0,0,0,0,0,1,0.07064676616915422,0.06518284819454681,True,False,False,True,False,False,False,True,False,False,0
0,0,0,0,0.5555555555555556,1,0,0,0,0,0,0,0,0,0.013930348258706454,0.09559805637435521,False,False,True,False,False,True,False,True,False,False,0
0,0,0,0,0.125,1,1,0,0,0,0,0,1,1,0.6472636815920397,0.09249493367722919,False,True,False,True,False,False,False,False,True,False,1
1,0,0,0,0.8055555555555555,1,1,0,1,1,0,1,1,1,0.845771144278607,0.6928944823139278,False,True,False,False,True,False,True,False,False,False,1
0,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.01641791044776117,0.0022913596168017687,False,False,True,True,False,False,True,False,False,False,0
1,0,1,1,0.6527777777777778,1,1,1,1,1,1,1,1,1,0.9472636815920398,0.6123111643330879,False,True,False,False,True,False,True,False,False,False,0
0,0,1,0,0.8055555555555555,1,1,1,0,1,1,1,1,1,0.6572139303482587,0.5660924834193073,True,False,False,False,False,True,False,False,True,False,0
1,0,0,0,0.5555555555555556,1,1,0,1,1,0,1,1,1,0.8398009950248756,0.47302758843036113,False,True,False,True,False,False,False,False,False,True,0
0,0,0,0,0.5694444444444444,1,1,0,0,1,1,0,1,1,0.5009950248756219,0.3312741801768608,True,False,False,False,True,False,False,False,True,False,0
1,0,1,0,0.9305555555555555,1,0,1,1,0,0,1,1,1,0.8223880597014926,0.7752797991893884,False,True,False,False,True,False,False,True,False,False,0
1,1,0,0,0.4722222222222222,1,0,0,1,1,0,1,1,1,0.8119402985074626,0.38494265843773035,False,True,False,False,True,False,False,False,True,False,0
1,0,0,0,0.041666666666666664,1,0,0,0,0,0,0,0,1,0.008457711442786064,0.006108373249815771,False,False,True,True,False,False,False,False,False,True,0
0,1,1,0,0.8333333333333333,1,1,1,1,1,1,1,1,1,0.9731343283582089,0.7974737472365513,False,True,False,False,False,True,True,False,False,False,0
0,1,0,0,0.1111111111111111,1,0,0,0,1,0,1,1,1,0.7348258706467661,0.08404914333087696,False,True,False,True,False,False,False,False,True,False,1
1,0,1,1,0.20833333333333331,1,1,0,0,0,0,0,0,1,0.5636815920398011,0.12749286109064115,False,True,False,True,False,False,True,False,False,False,1
1,0,0,0,0.9444444444444444,1,1,1,1,1,0,0,1,1,0.8343283582089552,0.8232026068533531,False,True,False,False,False,True,True,False,False,False,0
1,1,1,0,0.986111111111111,1,1,0,0,0,0,0,0,0,0.07164179104477608,0.20606692151805456,False,False,True,False,False,True,False,True,False,False,0
0,0,0,0,0.8055555555555555,1,1,1,0,0,0,0,0,1,0.6124378109452736,0.5212382553426678,False,True,False,True,False,False,True,False,False,False,0
1,1,0,0,0.027777777777777776,1,0,0,0,0,0,0,0,0,0.009452736318407956,0.00428334561532793,False,False,True,True,False,False,False,False,True,False,0
0,0,1,1,0.19444444444444442,1,0,0,1,0,1,0,1,1,0.7104477611940299,0.13913388909358881,False,True,False,True,False,False,False,True,False,False,1
0,0,1,0,0.986111111111111,1,0,0,0,0,0,0,0,1,0.026368159203980085,0.17193257184966843,False,False,True,False,False,True,True,False,False,False,0
1,0,0,0,0.19444444444444442,1,1,0,1,0,0,1,1,1,0.8189054726368158,0.16299166359616804,False,True,False,True,False,False,False,False,True,False,1
0,0,0,0,0.08333333333333333,0,0,1,1,0,1,0,1,0,0.32537313432835824,0.03541820191599116,True,False,False,True,False,False,False,True,False,False,0
1,0,1,1,0.20833333333333331,1,0,0,1,1,1,0,1,1,0.5099502487562189,0.12336495946941786,True,False,False,True,False,False,False,False,False,True,0
1,0,1,1,0.7916666666666666,1,0,0,1,1,0,1,1,1,0.7890547263681591,0.6445744288872514,False,True,False,False,True,False,False,True,False,False,0
0,0,0,0,0.9166666666666666,1,0,1,1,1,0,0,0,1,0.426865671641791,0.4625840549005159,True,False,False,False,False,True,True,False,False,False,0
1,1,1,0,0.9583333333333333,1,1,0,1,0,0,1,0,1,0.7134328358208956,0.7073450165806927,False,True,False,True,False,False,False,False,True,False,1
0,0,1,0,0.9444444444444444,1,0,1,0,0,1,0,0,0,0.3746268656716417,0.44316507000736927,True,False,False,False,True,False,True,False,False,False,0
1,1,0,1,0.7777777777777777,1,0,1,0,0,0,1,1,0,0.7616915422885572,0.6061509764185705,False,True,False,False,True,False,False,True,False,False,0
1,1,0,0,0.4861111111111111,1,1,0,0,1,0,1,1,1,0.8039800995024875,0.39100497420781144,False,True,False,True,False,False,False,False,True,False,1
0,0,1,1,0.5972222222222222,1,0,0,0,0,0,1,0,0,0.3771144278606965,0.28777864775239503,True,False,False,True,False,False,False,False,True,False,1
1,0,1,0,0.4305555555555555,1,0,0,0,1,1,0,1,1,0.4791044776119403,0.2325672439204127,True,False,False,True,False,False,False,True,False,False,0
0,0,1,1,0.4583333333333333,1,0,1,1,1,0,0,0,1,0.4,0.22515198968312458,True,False,False,False,True,False,False,False,False,True,0
1,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,1,0.508457711442786,0.00798521554900516,False,True,False,True,False,False,False,False,True,False,1
1,0,0,0,0.611111111111111,1,0,0,0,1,1,1,1,0,0.8144278606965173,0.5041394159911571,False,True,False,False,False,True,True,False,False,False,0
0,0,1,1,0.7916666666666666,1,0,1,1,0,0,0,0,0,0.3502487562189055,0.35153371407516587,True,False,False,False,True,False,False,False,True,False,0
1,0,0,1,0.9722222222222222,1,1,1,1,0,1,0,0,0,0.46467661691542295,0.5240765475313192,True,False,False,False,True,False,True,False,False,False,0
1,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.02288557213930348,0.002366203021370671,False,False,True,True,False,False,False,True,False,False,0
1,0,1,1,0.7638888888888888,1,0,0,0,1,1,0,0,1,0.3681592039800995,0.35923682756079595,True,False,False,False,False,True,False,True,False,False,0
1,1,1,0,0.40277777777777773,1,1,0,0,0,0,1,1,1,0.7582089552238807,0.3055510777450258,False,True,False,True,False,False,False,False,True,False,1
0,0,0,0,0.4583333333333333,1,1,1,1,0,0,0,0,1,0.42437810945273624,0.23418501289609434,True,False,False,True,False,False,False,False,False,True,0
1,1,1,0,0.05555555555555555,1,1,0,0,0,0,0,0,0,0.564179104477612,0.03554485998526161,False,True,False,True,False,False,False,False,True,False,1
1,0,0,0,0.9722222222222222,0,0,0,0,0,1,0,1,1,0.21691542288557208,0.3223735722181283,True,False,False,False,False,True,False,False,False,True,0
1,0,0,0,0.4861111111111111,1,1,0,0,0,0,0,0,1,0.07313432835820893,0.10377325902726604,False,False,True,True,False,False,False,False,True,False,0
0,0,0,0,0.027777777777777776,1,0,0,0,0,0,0,0,1,0.2746268656716418,0.012159174649963155,True,False,False,True,False,False,False,False,False,True,0
1,1,1,0,0.1388888888888889,1,1,0,0,1,0,0,1,1,0.7119402985074627,0.10527588430361091,False,True,False,True,False,False,False,False,True,False,1
1,0,1,1,0.013888888888888888,1,0,0,1,0,0,0,0,0,0.5606965174129352,0.008589719970523213,False,True,False,True,False,False,False,True,False,False,0
1,0,0,0,0.4305555555555555,1,0,0,0,0,0,0,0,0,0.021393034825870627,0.07013402726602802,False,False,True,False,False,True,True,False,False,False,0
1,1,0,0,0.41666666666666663,1,1,1,0,0,0,0,1,1,0.7189054726368159,0.29889577192336036,False,True,False,True,False,False,False,True,False,False,0
1,1,1,1,0.8333333333333333,1,1,1,1,0,0,0,1,1,0.7462686567164178,0.6649030490051585,False,True,False,True,False,False,False,False,True,False,0
0,0,1,1,1.0,1,1,1,0,1,1,0,0,0,0.4835820895522387,0.5479458364038321,True,False,False,False,False,True,True,False,False,False,0
1,0,0,0,0.05555555555555555,1,0,0,0,0,0,0,0,1,0.024378109452736302,0.009643284819454681,False,False,True,True,False,False,False,True,False,False,0
1,0,1,1,0.05555555555555555,1,0,0,0,0,0,0,0,1,0.5104477611940298,0.032804439941046426,False,True,False,True,False,False,False,False,False,True,0
0,0,0,0,0.3472222222222222,1,0,0,1,1,0,1,1,1,0.808457711442786,0.27278118091378045,False,True,False,True,False,False,False,False,True,False,1
1,0,1,0,0.9722222222222222,1,1,1,0,0,1,1,1,1,0.5840796019900497,0.6090871407516582,True,False,False,False,False,True,False,True,False,False,0
1,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,1,0.021890547263681587,0.0023546886514369935,False,False,True,True,False,False,False,False,False,True,0
0,0,0,0,0.2638888888888889,1,0,0,0,0,0,0,0,0,0.01641791044776117,0.04232106669123066,False,False,True,True,False,False,False,False,False,True,0
